result_set,condition,env,variant,first_plan_edges_bucket,count,mean,std
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,direct_goal,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,direct_goal,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,full_bars,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,full_bars,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,full_bars,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,full_bars,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,reachability,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,reachability,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,reachability,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,reachability,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,shortest,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,shortest,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,shortest,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-diverse-v2,shortest,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,direct_goal,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,direct_goal,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,direct_goal,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,direct_goal,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,full_bars,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,full_bars,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,full_bars,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,full_bars,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,reachability,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,reachability,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,reachability,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,reachability,3+,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,shortest,0,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,shortest,1,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,shortest,2,0,,
stage17_online_quick_loaded,direct_goal_after3,antmaze-medium-play-v2,shortest,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,full_bars,0,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,full_bars,1,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,full_bars,2,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,full_bars,3+,0,,
stage17_online_quick_loaded,direct_goal_fallback,antmaze-medium-play-v2,reachability,0,0,,
